  1790  29 198716 1 4.9750  2.9688  4.1205  3.4040  0 0 0 0 0 0 0 0  8 4 11 102.30   1 0.8999 0.0334 0.0334 0.0334
  1790  29 198720 1 4.2500  2.9688  4.0580  3.4040  0 0 0 0 0 0 0 0  8 4 11 110.42   1 0.9249 0.0250 0.0250 0.0250
  1790  29 198739 1 4.4643  2.7813  4.3170  3.4821  0 0 0 0 0 0 0 0  8 4 11 136.35   1 0.9437 0.0188 0.0188 0.0188
  1790  29 198746 1 4.6786  3.0938  4.3170  3.3415  0 0 0 0 0 0 0 0  8 4 11  89.21   1 0.9578 0.0141 0.0141 0.0141
  1980  26 198628 1 5.5714  3.4063  4.4330  3.0938  0 0 0 0 0 1 0 0  1 2  9  27.69   1 0.2500 0.2500 0.2500 0.2500
  1980  26 198631 1 5.5714  3.8289  4.6552  1.9860  0 0 0 0 0 0 0 1  1 2  9 104.96   1 0.4375 0.1875 0.1875 0.1875
  1980  26 198631 1 5.5714  3.8289  4.6552  1.9860  0 0 0 0 0 0 0 1  1 2  9 104.96   1 0.5781 0.1406 0.1406 0.1406
  1980  26 198637 1 4.9219  3.4063  4.4400  3.1853  1 0 0 0 0 0 0 0  1 2  9  40.47   1 0.6836 0.1055 0.1055 0.1055
  1980  26 198737 1 5.5714  3.0938  3.8326  3.6191  0 0 0 0 0 0 0 0  1 2  9  62.54   1 0.7627 0.0791 0.0791 0.0791
  1980  26 198751 1 5.6429  3.0938  4.3170  3.5253  0 0 0 0 0 0 0 0  1 2  9  17.81   1 0.8220 0.0593 0.0593 0.0593
  1980  26 198803 1 5.5714  2.7813  3.0938  3.4063  0 0 0 0 0 1 0 0  1 2  9  43.78   1 0.8665 0.0445 0.0445 0.0445
  1980  26 198807 1 3.5357  3.3750  3.9732  3.5253  0 0 0 0 0 0 0 0  1 2  9  46.38   1 0.8999 0.0334 0.0334 0.0334
  1980  26 198823 4 5.0438  3.6563  4.1138  3.7143  0 0 0 0 0 0 0 0  1 2  9  81.92   1 0.9249 0.0250 0.0250 0.0250
  2152   3 198627 1 3.6875  4.4918  4.0159  3.5141  0 0 0 0 1 0 0 0 10 4 15  31.30   1 0.2500 0.2500 0.2500 0.2500
  2152   3 198644 2 5.0504  3.0938  3.9231  3.4959  0 0 0 0 0 0 0 0 10 4 15  59.04   1 0.4375 0.1875 0.1875 0.1875
  2152   3 198649 3 4.7417  3.4674  2.7813  3.2545  0 0 0 0 0 0 1 0 10 4 15  48.88   1 0.3281 0.3906 0.1406 0.1406
  2152   3 198702 3 5.0406  3.5810  2.4688  3.2545  0 0 0 0 0 0 1 0 10 4 15  56.49   1 0.2461 0.2930 0.3555 0.1055
  2152   3 198706 2 4.6554  2.7813  3.7472  3.1235  0 0 0 0 0 1 0 1 10 4 15  85.23   1 0.1846 0.2197 0.5166 0.0791
  2152   3 198711 1 3.0313  3.3111  3.2515  3.1277  0 0 0 0 1 0 0 0 10 4 15  72.90   1 0.1384 0.4148 0.3875 0.0593
  2152   3 198721 4 4.7881  3.3111  3.1585  2.3438  0 0 0 0 0 0 1 1 10 4 15  82.57   1 0.3538 0.3111 0.2906 0.0445
  2152   3 198746 1 3.1429  3.7827  4.1395  3.4496  0 0 0 0 1 0 0 0 10 4 15  72.02   1 0.2654 0.2333 0.2179 0.2834
  2152   3 198802 3 4.9721  3.9645  3.0938  3.4613  0 0 0 0 1 0 0 0 10 4 15  67.21   1 0.4490 0.1750 0.1635 0.2125
  2152   3 198814 3 4.8643  3.9645  3.0938  3.4301  0 0 0 0 0 0 0 0 10 4 15  48.66   1 0.3368 0.1312 0.3726 0.1594
  2152   3 198819 1 3.6875  3.6349  3.7790  3.4301  0 0 0 0 1 0 0 0 10 4 15  99.83   1 0.2526 0.0984 0.5294 0.1195
  2152   3 198821 2 4.9205  3.4063  3.7769  3.4301  0 0 0 0 1 0 0 0 10 4 15  63.85   1 0.4394 0.0738 0.3971 0.0897
  2152   3 198824 2 4.9117  3.4063  3.8862  3.4301  0 0 0 0 0 1 0 0 10 4 15  92.39   1 0.3296 0.3054 0.2978 0.0672
  2152   3 198825 1 3.8750  3.8054  3.7656  3.4301  0 0 0 0 1 0 0 0 10 4 15  83.23   1 0.2472 0.4790 0.2234 0.0504
  2152   3 198827 1 3.6875  3.8054  3.7656  3.4301  0 0 0 0 1 0 0 0 10 4 15  52.99   1 0.4354 0.3593 0.1675 0.0378
